personalParticipantCode;generalLoginCode;committed;scheduled;published;osVersion;smartphoneType;screening;description;delay;duration;groupsize;partner_gender;partner_close;interaction_quality;interaction_intimacy;interaction_control;interaction_intensity;emo_happy;emo_sad;emo_nervous;emo_surprise;emo_angry;emo_embarrassed;emo_ashamed;dataquality
d0n63h9a;EMOTIONALITY;11-Mar-2025 09:13:48;11-Mar-2025 09:11:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;10-Mar-2025 20:21:47;10-Mar-2025 19:31:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;2;2;3;2;1;7;2;2;5;4;2;4;5;1;2;4;4;1
d0n63h9a;EMOTIONALITY;10-Mar-2025 18:24:42;10-Mar-2025 17:59:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;11-Mar-2025 22:00:03;11-Mar-2025 19:07:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;girlfriend;3;4;2;1;7;5;5;3;4;4;1;1;1;1;1;1;1
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:07:24;09-Mar-2025 10:16:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;stadion;4;5;35000;2;6;5;3;2;4;3;4;4;2;3;2;2;1
d0n63h9a;EMOTIONALITY;10-Mar-2025 15:00:10;10-Mar-2025 14:50:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;girlfriend called;2;2;2;1;7;3;3;3;1;3;1;1;1;1;1;1;1
d0n63h9a;EMOTIONALITY;11-Mar-2025 11:02:45;11-Mar-2025 11:00:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;08-Mar-2025 13:10:25;08-Mar-2025 13:10:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
d0n63h9a;EMOTIONALITY;09-Mar-2025 20:12:25;09-Mar-2025 20:10:00;07-Mar-2025 12:43:04;Android 14;2107113SG;true;girlfriend;1;4;2;1;7;3;4;3;2;4;1;1;1;1;1;1;1
d0n63h9a;EMOTIONALITY;10-Mar-2025 12:00:47;10-Mar-2025 11:51:00;07-Mar-2025 12:43:04;Android 14;2107113SG;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:05:47;08-Mar-2025 15:39:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;09-Mar-2025 15:54:30;09-Mar-2025 14:22:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;10-Mar-2025 12:49:34;10-Mar-2025 12:48:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Foto;1;1;2;1;1;2;1;3;1;1;1;1;1;1;1;1;1
67wibffe;EMOTIONALITY;11-Mar-2025 10:28:25;10-Mar-2025 18:13:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;10-Mar-2025 11:30:35;10-Mar-2025 10:28:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 20:52:49;08-Mar-2025 20:12:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;Home fam;2;3;5;1;7;2;3;4;3;1;2;2;4;4;3;2;1
67wibffe;EMOTIONALITY;10-Mar-2025 09:49:46;09-Mar-2025 16:55:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;11-Mar-2025 10:28:37;11-Mar-2025 09:03:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;09-Mar-2025 17:08:55;09-Mar-2025 15:54:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;true;-1;1;1;2;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1
67wibffe;EMOTIONALITY;11-Mar-2025 10:28:29;10-Mar-2025 20:02:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;08-Mar-2025 18:22:00;08-Mar-2025 18:17:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;11-Mar-2025 17:58:40;11-Mar-2025 17:58:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
67wibffe;EMOTIONALITY;11-Mar-2025 10:28:21;10-Mar-2025 17:15:00;07-Mar-2025 12:43:04;iOS 18.3.1;iPhone14,4;false;;;;;;;;;;;;;;;;;;
